ダウンロードした時刻：2018/11/10 20:43:21

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月日,最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2008/1/1,2.4,8,1,7.0,8,1,4.3,8,1
2008/1/2,0.9,8,1,9.5,8,1,5.4,8,1
2008/1/3,2.3,8,1,10.6,8,1,6.9,8,1
2008/1/4,3.1,8,1,12.1,8,1,6.9,8,1
2008/1/5,2.7,8,1,11.8,8,1,7.2,8,1
2008/1/6,2.7,8,1,12.7,8,1,7.4,8,1
2008/1/7,4.9,8,1,8.5,8,1,6.8,8,1
2008/1/8,5.6,8,1,13.9,8,1,9.8,8,1
2008/1/9,6.1,8,1,14.2,8,1,9.7,8,1
2008/1/10,4.3,8,1,14.2,8,1,8.9,8,1
2008/1/11,5.6,8,1,13.0,8,1,9.2,8,1
2008/1/12,6.2,8,1,11.8,8,1,9.5,8,1
2008/1/13,3.5,8,1,8.4,8,1,5.1,8,1
2008/1/14,3.0,8,1,6.3,8,1,4.3,8,1
2008/1/15,0.9,8,1,9.7,8,1,5.3,8,1
2008/1/16,4.4,8,1,11.0,8,1,6.9,8,1
2008/1/17,2.1,8,1,7.4,8,1,4.5,8,1
2008/1/18,1.4,8,1,9.4,8,1,4.4,8,1
2008/1/19,1.9,8,1,8.4,8,1,4.7,8,1
2008/1/20,1.5,8,1,6.3,8,1,3.5,8,1
2008/1/21,1.4,8,1,7.9,8,1,4.6,8,1
2008/1/22,1.9,8,1,7.1,8,1,4.5,8,1
2008/1/23,3.7,8,1,7.9,8,1,5.7,8,1
2008/1/24,1.9,8,1,7.7,8,1,4.7,8,1
2008/1/25,1.6,8,1,6.2,8,1,3.0,8,1
2008/1/26,1.6,8,1,7.6,8,1,3.6,8,1
2008/1/27,0.4,8,1,6.8,8,1,3.3,8,1
2008/1/28,0.4,8,1,6.5,8,1,2.7,8,1
2008/1/29,2.3,8,1,7.1,8,1,4.9,8,1
2008/1/30,5.5,8,1,9.3,8,1,7.5,8,1
2008/1/31,3.7,8,1,9.4,8,1,5.8,8,1
2008/2/1,2.2,8,1,9.0,8,1,4.5,8,1
2008/2/2,2.1,8,1,7.3,8,1,3.8,8,1
2008/2/3,1.2,8,1,6.5,8,1,3.8,8,1
2008/2/4,2.9,8,1,8.9,8,1,5.6,8,1
2008/2/5,3.6,8,1,9.3,8,1,5.9,8,1
2008/2/6,2.3,8,1,8.9,8,1,5.0,8,1
2008/2/7,3.2,8,1,8.7,8,1,4.9,8,1
2008/2/8,1.4,8,1,8.3,8,1,4.3,8,1
2008/2/9,0.4,8,1,3.8,8,1,2.0,8,1
2008/2/10,1.3,8,1,10.5,8,1,5.6,8,1
2008/2/11,1.7,8,1,12.5,8,1,7.1,8,1
2008/2/12,2.1,8,1,7.9,8,1,5.7,8,1
2008/2/13,-0.3,8,1,5.2,8,1,2.0,8,1
2008/2/14,0.7,8,1,8.8,8,1,4.8,8,1
2008/2/15,1.2,8,1,8.7,8,1,5.3,8,1
2008/2/16,2.4,8,1,8.4,8,1,4.5,8,1
2008/2/17,1.1,8,1,6.5,8,1,3.0,8,1
2008/2/18,1.2,8,1,8.0,8,1,4.1,8,1
2008/2/19,2.1,8,1,9.9,8,1,6.0,8,1
2008/2/20,1.8,8,1,10.6,8,1,7.0,8,1
2008/2/21,5.6,8,1,12.6,8,1,8.3,8,1
2008/2/22,3.7,8,1,14.2,8,1,9.0,8,1
2008/2/23,0.5,8,1,12.6,8,1,7.1,8,1
2008/2/24,-0.7,8,1,5.7,8,1,2.0,8,1
2008/2/25,0.4,8,1,8.3,8,1,3.5,8,1
2008/2/26,3.5,8,1,7.4,8,1,5.4,8,1
2008/2/27,2.3,8,1,7.6,8,1,4.0,8,1
2008/2/28,3.1,8,1,10.2,8,1,6.0,8,1
2008/2/29,1.3,8,1,13.2,8,1,7.6,8,1
2008/3/1,5.8,8,1,11.6,8,1,8.2,8,1
2008/3/2,2.8,8,1,12.3,8,1,8.0,8,1
2008/3/3,5.1,8,1,10.9,8,1,7.3,8,1
2008/3/4,3.9,8,1,11.0,8,1,6.6,8,1
2008/3/5,3.2,8,1,9.9,8,1,5.4,8,1
2008/3/6,1.3,8,1,10.3,8,1,6.3,8,1
2008/3/7,4.8,8,1,12.0,8,1,7.7,8,1
2008/3/8,2.7,8,1,13.0,8,1,7.3,8,1
2008/3/9,3.1,8,1,16.5,8,1,10.0,8,1
2008/3/10,8.4,8,1,14.7,8,1,11.2,8,1
2008/3/11,5.7,8,1,17.6,8,1,12.0,8,1
2008/3/12,8.2,8,1,20.7,8,1,13.5,8,1
2008/3/13,9.7,8,1,19.3,8,1,14.2,8,1
2008/3/14,10.6,8,1,15.9,8,1,13.4,8,1
2008/3/15,7.4,8,1,16.5,8,1,11.7,8,1
2008/3/16,6.4,8,1,17.6,8,1,12.1,8,1
2008/3/17,8.1,8,1,19.2,8,1,12.8,8,1
2008/3/18,7.3,8,1,21.4,8,1,13.8,8,1
2008/3/19,10.7,8,1,14.6,8,1,12.7,8,1
2008/3/20,10.1,8,1,12.2,8,1,11.1,8,1
2008/3/21,9.9,8,1,18.0,8,1,12.6,8,1
2008/3/22,7.4,8,1,19.8,8,1,12.9,8,1
2008/3/23,10.0,8,1,19.7,8,1,14.5,8,1
2008/3/24,11.3,8,1,16.9,8,1,13.7,8,1
2008/3/25,8.4,8,1,19.2,8,1,13.5,8,1
2008/3/26,7.4,8,1,15.6,8,1,11.8,8,1
2008/3/27,6.7,8,1,15.3,8,1,10.9,8,1
2008/3/28,8.1,8,1,15.8,8,1,11.3,8,1
2008/3/29,7.5,8,1,15.4,8,1,9.9,8,1
2008/3/30,7.4,8,1,9.6,8,1,8.3,8,1
2008/3/31,6.8,8,1,12.6,8,1,9.1,8,1
2008/4/1,6.7,8,1,14.5,8,1,10.1,8,1
2008/4/2,5.5,8,1,15.8,8,1,11.5,8,1
2008/4/3,10.3,8,1,17.4,8,1,13.6,8,1
2008/4/4,7.2,8,1,18.2,8,1,12.9,8,1
2008/4/5,7.6,8,1,19.8,8,1,14.2,8,1
2008/4/6,8.8,8,1,22.0,8,1,15.2,8,1
2008/4/7,11.2,8,1,15.8,8,1,13.2,8,1
2008/4/8,12.5,8,1,18.1,8,1,14.5,8,1
2008/4/9,10.0,8,1,21.1,8,1,15.5,8,1
2008/4/10,13.3,8,1,16.7,8,1,14.3,8,1
2008/4/11,12.2,8,1,18.0,8,1,14.4,8,1
2008/4/12,11.2,8,1,19.6,8,1,14.3,8,1
2008/4/13,9.8,8,1,20.5,8,1,14.7,8,1
2008/4/14,11.6,8,1,20.3,8,1,15.3,8,1
2008/4/15,8.8,8,1,21.8,8,1,15.5,8,1
2008/4/16,13.1,8,1,20.9,8,1,16.9,8,1
